feature,importance
top3_4w_share,0.14755309
ret_5d,0.13182409
pub_4w,0.110510476
top2_Advancements in Semiconductor Devices and Circuit Design,0.10081609
top5_4w_share,0.09939981
vol_4w,0.083709896
vol_growth,0.071410574
pub_growth,0.06947404
top5_4w_Advanced Memory and Neural Computing,0.06936453
top5_infrequent_sklearn,0.062275454
top2_infrequent_sklearn,0.05366204
top2_4w_infrequent_sklearn,0.0
top5_Semiconductor materials and interfaces,0.0
top2_4w_Advancements in Semiconductor Devices and Circuit Design,0.0
top2_4w_Electronic and Structural Properties of Oxides,0.0
top5_4w_Electronic and Structural Properties of Oxides,0.0
top5_4w_Copper Interconnects and Reliability,0.0
top5_GaN-based semiconductor devices and materials,0.0
top5_4w_Ferroelectric and Negative Capacitance Devices,0.0
top5_4w_Integrated Circuits and Semiconductor Failure Analysis,0.0
top5_4w_Semiconductor materials and interfaces,0.0
top5_Integrated Circuits and Semiconductor Failure Analysis,0.0
top5_Copper Interconnects and Reliability,0.0
top5_Ferroelectric and Negative Capacitance Devices,0.0
top5_Electronic and Structural Properties of Oxides,0.0
top5_Electron and X-Ray Spectroscopy Techniques,0.0
top5_Catalytic Processes in Materials Science,0.0
top5_Advancements in Semiconductor Devices and Circuit Design,0.0
top5_Advancements in Battery Materials,0.0
top5_Advanced ceramic materials synthesis,0.0
top5_Advanced Memory and Neural Computing,0.0
top2_Electronic and Structural Properties of Oxides,0.0
top2_Catalytic Processes in Materials Science,0.0
top2_Advancements in Battery Materials,0.0
top2_Advanced Memory and Neural Computing,0.0
top5_4w_infrequent_sklearn,0.0
