feature,importance
"top2_Banking stability, regulation, efficiency",0.09140455
"top5_4w_Banking stability, regulation, efficiency",0.09102075
top5_4w_Financial Reporting and Valuation Research,0.075109825
vol_4w,0.06831336
"top2_4w_Auditing, Earnings Management, Governance",0.06011386
top5_4w_Financial Markets and Investment Strategies,0.04920063
top2_4w_Working Capital and Financial Performance,0.045926712
top5_4w_Private Equity and Venture Capital,0.044534612
"top5_Banking stability, regulation, efficiency",0.043893732
top5_Corporate Taxation and Avoidance,0.04264748
top5_Corporate Social Responsibility Reporting,0.0415087
ret_5d,0.041161112
top2_Working Capital and Financial Performance,0.041067105
top5_Working Capital and Financial Performance,0.040347163
vol_growth,0.04034011
top5_Private Equity and Venture Capital,0.036777433
"top2_Auditing, Earnings Management, Governance",0.03266765
top5_infrequent_sklearn,0.032591607
"top5_Auditing, Earnings Management, Governance",0.030738022
top5_Financial Reporting and Valuation Research,0.026908586
top5_Financial Markets and Investment Strategies,0.023726948
top5_Gender Diversity and Inequality,0.0
top2_4w_infrequent_sklearn,0.0
top5_Risk Management in Financial Firms,0.0
top5_4w_Corporate Social Responsibility Reporting,0.0
top5_Islamic Finance and Banking Studies,0.0
top5_International Business and FDI,0.0
"top5_Energy, Environment, Economic Growth",0.0
top5_Firm Innovation and Growth,0.0
top5_Financial Analysis and Corporate Governance,0.0
top5_Family Business Performance and Succession,0.0
top5_Corporate Insolvency and Governance,0.0
top5_Corporate Governance and Law,0.0
top5_Capital Investment and Risk Analysis,0.0
top5_Auction Theory and Applications,0.0
top2_infrequent_sklearn,0.0
top2_Private Equity and Venture Capital,0.0
top2_Firm Innovation and Growth,0.0
top2_Financial Reporting and Valuation Research,0.0
top2_Financial Markets and Investment Strategies,0.0
top2_Family Business Performance and Succession,0.0
top2_Corporate Taxation and Avoidance,0.0
top2_Corporate Social Responsibility Reporting,0.0
top5_4w_infrequent_sklearn,0.0
