feature,importance
top5_4w_Clinical Reasoning and Diagnostic Skills,0.0867304
top5_Ethics and Social Impacts of AI,0.07115283
top5_COVID-19 diagnosis using AI,0.066894606
top5_Clinical Reasoning and Diagnostic Skills,0.06141823
top5_4w_Artificial Intelligence in Healthcare,0.060767822
top5_4w_AI in Service Interactions,0.059209827
top5_4w_Ethics in Clinical Research,0.05541658
top5_Artificial Intelligence in Healthcare,0.052999567
vol_4w,0.051554866
top5_4w_Explainable Artificial Intelligence (XAI),0.05044003
top5_Machine Learning in Healthcare,0.043603886
ret_5d,0.04315522
top5_Radiomics and Machine Learning in Medical Imaging,0.040648945
top5_4w_Online Learning and Analytics,0.03861732
vol_growth,0.03800444
top2_COVID-19 diagnosis using AI,0.036354985
top2_Radiomics and Machine Learning in Medical Imaging,0.036252234
top2_Machine Learning in Healthcare,0.030473728
top5_AI in Service Interactions,0.029560875
top5_Ethics in Clinical Research,0.023630053
top5_infrequent_sklearn,0.023113558
top2_Autopsy Techniques and Outcomes,0.0
top2_4w_Machine Learning in Healthcare,0.0
top2_4w_Radiomics and Machine Learning in Medical Imaging,0.0
top2_4w_infrequent_sklearn,0.0
top2_AI in cancer detection,0.0
top2_Artificial Intelligence in Healthcare,0.0
top5_4w_Ethics and Social Impacts of AI,0.0
top2_AI in Service Interactions,0.0
top5_4w_Radiomics and Machine Learning in Medical Imaging,0.0
top5_4w_Topic Modeling,0.0
top2_4w_COVID-19 diagnosis using AI,0.0
top5_Radiology practices and education,0.0
top5_Topic Modeling,0.0
top2_infrequent_sklearn,0.0
top5_Online Learning and Analytics,0.0
"top5_Healthcare cost, quality, practices",0.0
top5_Explainable Artificial Intelligence (XAI),0.0
top2_Ethics and Social Impacts of AI,0.0
top2_Ethics in Clinical Research,0.0
"top5_Cardiac, Anesthesia and Surgical Outcomes",0.0
top2_Explainable Artificial Intelligence (XAI),0.0
top5_Biomedical and Engineering Education,0.0
top5_Autopsy Techniques and Outcomes,0.0
top5_Advanced X-ray and CT Imaging,0.0
top5_AI in cancer detection,0.0
top5_4w_infrequent_sklearn,0.0
