feature,coef,importance,sign
"top5_4w_Financial Literacy, Pension, Retirement Analysis",-1.0331988672238617,1.0331988672238617,-1.0
top5_Air Quality and Health Impacts,0.9466454261806312,0.9466454261806312,1.0
top5_Healthcare Systems and Challenges,-0.8809799871639558,0.8809799871639558,-1.0
"top5_Gender, Labor, and Family Dynamics",-0.876665542607973,0.876665542607973,-1.0
top2_Climate Change and Health Impacts,-0.7652129076877874,0.7652129076877874,-1.0
"top5_Health Systems, Economic Evaluations, Quality of Life",0.7606886018590698,0.7606886018590698,1.0
top5_Intergenerational Family Dynamics and Caregiving,-0.7550715332317932,0.7550715332317932,-1.0
top2_Healthcare Policy and Management,-0.7410216750944604,0.7410216750944604,-1.0
top5_4w_infrequent_sklearn,0.5758596110371133,0.5758596110371133,1.0
vol_4w,0.56800918630061,0.56800918630061,1.0
top2_Global Maternal and Child Health,0.5633572231559529,0.5633572231559529,1.0
top5_Economic Growth and Productivity,0.5462968494084676,0.5462968494084676,1.0
"top5_Birth, Development, and Health",-0.5284642814322079,0.5284642814322079,-1.0
top5_Health disparities and outcomes,0.47609207632571354,0.47609207632571354,1.0
top2_4w_infrequent_sklearn,-0.47356048308302867,0.47356048308302867,-1.0
"top2_Insurance, Mortality, Demography, Risk Management",0.46504851082272924,0.46504851082272924,1.0
"top5_Retirement, Disability, and Employment",0.4644447631641029,0.4644447631641029,1.0
top5_nan,0.44003722638815845,0.44003722638815845,1.0
top5_Global Public Health Policies and Epidemiology,-0.43652288760764874,0.43652288760764874,-1.0
top2_Air Quality and Health Impacts,0.4176695376789128,0.4176695376789128,1.0
top3_4w_share,-0.39938360963878594,0.39938360963878594,-1.0
top5_Global Maternal and Child Health,-0.35909797435856095,0.35909797435856095,-1.0
ret_5d,-0.3099563741218487,0.3099563741218487,-1.0
top2_Economic Growth and Productivity,-0.28624985441240886,0.28624985441240886,-1.0
top2_4w_Health disparities and outcomes,0.27806529167926036,0.27806529167926036,1.0
"top5_Financial Literacy, Pension, Retirement Analysis",-0.27418205429615494,0.27418205429615494,-1.0
top2_infrequent_sklearn,-0.2684722774165858,0.2684722774165858,-1.0
top2_Health disparities and outcomes,0.24583394193238428,0.24583394193238428,1.0
top5_4w_Healthcare Systems and Reforms,0.2410350098510499,0.2410350098510499,1.0
top5_Employment and Welfare Studies,-0.23696614812512032,0.23696614812512032,-1.0
top5_Global Health Workforce Issues,0.22880057017720465,0.22880057017720465,1.0
"top5_Energy, Environment, Economic Growth",-0.21021879397249948,0.21021879397249948,-1.0
top5_Global Healthcare and Medical Tourism,-0.19528644675351348,0.19528644675351348,-1.0
top2_4w_Healthcare Systems and Reforms,0.17292457576744374,0.17292457576744374,1.0
top5_Climate Change and Health Impacts,0.17068004246122592,0.17068004246122592,1.0
top5_Healthcare Systems and Reforms,0.15544540570197726,0.15544540570197726,1.0
top5_infrequent_sklearn,0.1533850592245538,0.1533850592245538,1.0
"top2_Health Systems, Economic Evaluations, Quality of Life",0.14344399401726696,0.14344399401726696,1.0
top5_Blood Pressure and Hypertension Studies,0.14108842575963124,0.14108842575963124,1.0
vol_growth,-0.11662153903065539,0.11662153903065539,-1.0
top2_Fiscal Policy and Economic Growth,0.11425311913958142,0.11425311913958142,1.0
top5_Healthcare Policy and Management,0.09177519048365392,0.09177519048365392,1.0
"top5_Insurance, Mortality, Demography, Risk Management",0.09050028742478076,0.09050028742478076,1.0
"top5_4w_Insurance, Mortality, Demography, Risk Management",0.07702095974495764,0.07702095974495764,1.0
top5_HIV/AIDS Impact and Responses,0.07618050443582647,0.07618050443582647,1.0
top2_Aging and Gerontology Research,-0.07407466182251342,0.07407466182251342,-1.0
top2_Healthcare Systems and Reforms,0.07202480013531228,0.07202480013531228,1.0
top5_COVID-19 Pandemic Impacts,-0.07173508499008943,0.07173508499008943,-1.0
top5_4w_Employment and Welfare Studies,0.060936916130208255,0.060936916130208255,1.0
top2_4w_Healthcare Policy and Management,-0.05870451762523544,0.05870451762523544,-1.0
top2_Employment and Welfare Studies,0.03212511629005338,0.03212511629005338,1.0
pub_4w,0.015780881262045587,0.015780881262045587,1.0
pub_growth,0.015108039436415378,0.015108039436415378,1.0
top5_Fiscal Policy and Economic Growth,-0.012580481265580317,0.012580481265580317,-1.0
top5_Energy and Environment Impacts,0.011992320808280355,0.011992320808280355,1.0
top5_4w_share,0.009715543077721316,0.009715543077721316,1.0
top5_4w_Healthcare Policy and Management,-0.004504193719168822,0.004504193719168822,-1.0
top5_Demographic Trends and Gender Preferences,0.002443332740256523,0.002443332740256523,1.0
top5_4w_Health disparities and outcomes,0.0015754309181401774,0.0015754309181401774,1.0
